fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
0,QSVC,quantum,LDA,pso,1200,2000,0.4784118839038747,48,"[0.47322221098639344, 0.47322221098639344, 0.4766505636070853, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474, 0.47841188390387474]",False,185.8692790999776,"{'C': 0.010000000000000004, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.69,0.3623376623376623,0.6838235294117647,0.4736842105263157,0.6877032219923145,0.310889044508094,0.2940714602423884,1101,491,129,279,ok,7.272900599986315,1,Bank Customer Churn
1,QSVC,quantum,LDA,pso,1200,2000,0.5073642382840035,85,"[0.48482485214791704, 0.4918200572787729, 0.4918200572787729, 0.4955716642623664, 0.4955716642623664, 0.5007727525963669, 0.5007727525963669, 0.5007727525963669, 0.5007727525963669, 0.5007727525963669, 0.5073642382840035, 0.5073642382840035]",False,339.28704019996803,"{'C': 0.07087557341767259, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.7375,0.4112291350531107,0.6642156862745098,0.5079662605435802,0.7102485466548428,0.3605018644077747,0.7733974714257561,1204,388,137,271,ok,6.173808699997608,1,Bank Customer Churn
2,QSVC,quantum,LDA,pso,1200,2000,0.4390373868540347,94,"[0.4297291733268402, 0.4334049506559236, 0.43460500449365047, 0.4364743572290742, 0.4364743572290742, 0.43811874127115064, 0.43811874127115064, 0.43811874127115064, 0.43903738685403476, 0.43903738685403476, 0.43903738685403476, 0.43903738685403476]",False,419.4247491999995,"{'C': 0.26283212603984246, 'map_reps': 2, 'scale': 0.25, 'entanglement': 'linear'}",0.7095,0.3817934782608695,0.6904176904176904,0.4916885389326334,0.7023965413795923,0.3379292083313799,0.7558914847050441,1138,455,126,281,ok,6.328327999974135,1,Bank Customer Churn
3,QSVC,quantum,LDA,pso,1200,2000,0.4851644732778468,93,"[0.4771207129561585, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.4835305792505358, 0.48516447327784684, 0.48516447327784684]",False,349.49231210001744,"{'C': 4.222435064928727, 'map_reps': 1, 'scale': 0.531688549363664, 'entanglement': 'full'}",0.7345,0.4066265060240964,0.6633906633906634,0.5042016806722689,0.7080292927750556,0.3556905377696527,0.7796494491409746,1199,394,137,270,ok,5.184893999947235,1,Bank Customer Churn
4,QSVC,quantum,LDA,pso,1200,2000,0.4917222796662373,91,"[0.49098219057626763, 0.49098219057626763, 0.49098219057626763, 0.49098219057626763, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373, 0.4917222796662373]",False,471.9747008999693,"{'C': 0.017956267008228482, 'map_reps': 3, 'scale': 0.42493265049869944, 'entanglement': 'circular'}",0.686,0.3634116192830655,0.7223587223587223,0.4835526315789473,0.6995346656363606,0.3273582604428254,0.7511232341740817,1078,515,113,294,ok,6.948521600046661,1,Bank Customer Churn
5,QSVC,quantum,LDA,pso,1200,2000,0.4663382791137755,94,"[0.4534872039421396, 0.45820858314905205, 0.4613917223963042, 0.46388512413957267, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557, 0.46633827911377557]",False,343.52778450003825,"{'C': 6.592148652775636, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.6855,0.3716608594657375,0.7843137254901961,0.5043341213553979,0.7222448024435906,0.3617427070325772,0.7857208838309193,1051,541,88,320,ok,5.758887400035746,1,Bank Customer Churn
6,QSVC,quantum,LDA,pso,1200,2000,0.4605356588115208,95,"[0.4513945808727828, 0.45763579788271036, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086, 0.46053565881152086]",False,342.23469000001205,"{'C': 1.8655604948471347, 'map_reps': 1, 'scale': 0.6532334213567195, 'entanglement': 'full'}",0.701,0.3695054945054945,0.6593137254901961,0.4735915492957746,0.6854985712878117,0.3107155100905896,0.7529929057049956,1133,459,139,269,ok,6.31858869997086,1,Bank Customer Churn
7,QSVC,quantum,LDA,pso,1200,2000,0.5098282934320901,89,"[0.4927914290090918, 0.5057844137416051, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901, 0.5098282934320901]",False,473.8555201999843,"{'C': 0.033707721504892506, 'map_reps': 3, 'scale': 0.25, 'entanglement': 'circular'}",0.735,0.4040561622464899,0.6363636363636364,0.4942748091603053,0.6982822576042915,0.3421213681460482,0.7651364770008837,1211,382,148,259,ok,6.966394200047944,1,Bank Customer Churn
8,QSVC,quantum,LDA,pso,1200,2000,0.525649016117972,96,"[0.5250508592413813, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972, 0.525649016117972]",False,335.96538439998403,"{'C': 0.07479082872628286, 'map_reps': 1, 'scale': 0.5295094583948631, 'entanglement': 'circular'}",0.719,0.3909985935302391,0.683046683046683,0.4973166368515205,0.7056162479891294,0.3458846263197671,0.7678279203702933,1160,433,129,278,ok,6.246811099990737,1,Bank Customer Churn
9,QSVC,quantum,LDA,pso,1200,2000,0.4802587887070311,96,"[0.476480261713128, 0.47807607597081275, 0.47836202488235413, 0.47836202488235413, 0.47836202488235413, 0.47836202488235413, 0.47836202488235413, 0.4789580391500989, 0.4794613765352113, 0.4794613765352113, 0.4794613765352113, 0.4802587887070311]",False,351.1290249999729,"{'C': 10.144091073448834, 'map_reps': 1, 'scale': 0.6687228793801558, 'entanglement': 'circular'}",0.722,0.3834115805946791,0.601965601965602,0.4684512428298279,0.6773167620625248,0.3062001426247584,0.7372279829906949,1199,394,162,245,ok,5.034415300004184,1,Bank Customer Churn
10,QSVC,quantum,LDA,pso,1200,2000,0.4916867895190844,94,"[0.4847795188222241, 0.4847795188222241, 0.4847795188222241, 0.4847795188222241, 0.4847795188222241, 0.4847795188222241, 0.4869270785237172, 0.48786686280053154, 0.48786686280053154, 0.4916867895190844, 0.4916867895190844, 0.4916867895190844]",False,422.440461500024,"{'C': 17.95518092916431, 'map_reps': 2, 'scale': 0.4533308990211127, 'entanglement': 'circular'}",0.703,0.3729508196721312,0.6691176470588235,0.4789473684210526,0.6904005320721254,0.3185551270309652,0.7527096265641936,1133,459,135,273,ok,6.194280299998354,1,Bank Customer Churn
11,QSVC,quantum,LDA,pso,1200,2000,0.4798930188585361,96,"[0.4712320533418342, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.4781892247378973, 0.47989301885853614, 0.47989301885853614]",False,355.55697970004985,"{'C': 0.12361555047828705, 'map_reps': 1, 'scale': 0.6265445385132251, 'entanglement': 'linear'}",0.6975,0.3712418300653595,0.696078431372549,0.484228473998295,0.6969713764902946,0.3266408766004819,0.7518505517785004,1111,481,124,284,ok,4.580074599944055,1,Bank Customer Churn
12,QSVC,quantum,LDA,pso,1200,2000,0.4971506850915548,65,"[0.489105929911757, 0.4924092242243025, 0.4971323361478884, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486, 0.49715068509155486]",False,267.108827500022,"{'C': 100.00000000000013, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'circular'}",0.6905,0.373508353221957,0.769041769041769,0.5028112449799197,0.7197374570255926,0.3586031573695254,0.7877060419433302,1068,525,94,313,ok,7.027876699983608,1,Bank Customer Churn
