fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,balance,dataset
6,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6747967479674797,0.7848101265822784,0.7294117647058823,0.7560975609756098,0.6410216718266254,0.27187998163795013,0.7162538699690404,21,17,23,62,ok,0.44334910000907257,1,undersample,Loan Approval
7,RandomForest,classical,LDA,default,491,123,1.00000761449337e-07,{},0.6178861788617886,0.7605633802816901,0.6428571428571429,0.6967741935483871,0.6034798534798536,0.19495164366860385,0.6746031746031746,22,17,30,54,ok,0.4068867000169121,1,undersample,Loan Approval
8,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.5284552845528455,0.7321428571428571,0.4880952380952381,0.5857142857142857,0.5517399267399268,0.09669328986723554,0.6773504273504274,24,15,43,41,ok,0.4401833000010811,1,undersample,Loan Approval
9,RandomForest,classical,LDA,default,492,122,2.00001522898674e-07,{},0.6147540983606558,0.7534246575342466,0.6547619047619048,0.7006369426751592,0.5905388471177945,0.1710554544124574,0.7138157894736843,20,18,29,55,ok,0.46273510000901297,1,undersample,Loan Approval
10,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6178861788617886,0.796875,0.6,0.6845637583892618,0.6289473684210527,0.23852161840019073,0.7212074303405573,25,13,34,51,ok,0.46553689998108894,1,undersample,Loan Approval
11,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6178861788617886,0.7714285714285715,0.6352941176470588,0.6967741935483871,0.6071207430340557,0.19990234027985274,0.7275541795665634,22,16,31,54,ok,0.4618674000375904,1,undersample,Loan Approval
12,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6829268292682927,0.7710843373493976,0.7619047619047619,0.7664670658682635,0.6373626373626373,0.27289873406088255,0.6941391941391941,20,19,20,64,ok,0.4210973999579437,1,undersample,Loan Approval
13,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6666666666666666,0.8115942028985508,0.6666666666666666,0.7320261437908496,0.6666666666666666,0.31255702646612193,0.7557997557997558,26,13,28,56,ok,0.42179179994855076,1,undersample,Loan Approval
14,RandomForest,classical,LDA,default,492,122,3.00002284348011e-07,{},0.6475409836065574,0.8253968253968254,0.6190476190476191,0.7074829931972789,0.6647869674185464,0.3054133508716839,0.7584586466165414,27,11,32,52,ok,0.4472908999887295,1,undersample,Loan Approval
0,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6455938697318008,0.13286887285394378,0.5717344753747323,0.21562689279224712,0.6121037753818217,0.12989673932264711,0.6370667484362842,6543,3485,400,534,ok,26.147795299999416,1,smote,HR Promotion
1,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6829958036854589,0.14079728583545378,0.5331905781584583,0.2227689554909416,0.6150695611175219,0.13743751502749973,0.6313940879883222,6989,3039,436,498,ok,25.88187320000725,1,smote,HR Promotion
2,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6366538952745849,0.11551071878940732,0.49036402569593146,0.18697693406817717,0.570321621942501,0.08171879286019311,0.603591154617179,6521,3507,476,458,ok,26.648287300020456,1,smote,HR Promotion
3,VQC,quantum,LDA,default,1200,10961,1.00000761449337e-07,{},0.6217498403430344,0.11428571428571428,0.5101822079314041,0.18673989799921537,0.5711561219154428,0.08181935711341136,0.599687327786592,6339,3689,457,476,ok,26.405072000052314,1,smote,HR Promotion
4,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.6292309095885412,0.12195121951219512,0.5412647374062165,0.19905400078833269,0.5893399873708386,0.10284402478352904,0.6062760070302617,6392,3636,428,505,ok,25.185318100033328,1,smote,HR Promotion
5,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6444991789819376,0.1206145966709347,0.5042826552462527,0.19466831990080596,0.5809207452537606,0.09435173538404538,0.601234103396998,6594,3434,463,471,ok,25.962532399978954,1,smote,HR Promotion
6,VQC,quantum,LDA,default,1200,10962,1.00000761449337e-07,{},0.6847290640394089,0.12846199175014733,0.4668094218415418,0.20147874306839186,0.5859176746224063,0.1037639820724825,0.6197600679553352,7070,2958,498,436,ok,26.44236980000278,1,smote,HR Promotion
7,VQC,quantum,LDA,default,1200,10962,3.00002284348011e-07,{},0.7517788724685276,0.16697726425642936,0.4796573875802998,0.24771910423002488,0.6283907201164363,0.16674197970848983,0.6683187503256407,7793,2235,486,448,ok,26.33498020004481,1,smote,HR Promotion
8,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.7564090867621568,0.18058109599117322,0.5262593783494105,0.26889375684556405,0.6520407382373299,0.19647940801732816,0.7093282431913044,7800,2228,442,491,ok,26.40346080000745,1,smote,HR Promotion
9,VQC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.6433719551135846,0.1324110671936759,0.5744908896034298,0.21521782774543263,0.6121357519417229,0.12967867052452609,0.6162358472375955,6516,3512,397,536,ok,26.425064200011548,1,smote,HR Promotion
10,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.71629264732713,0.15569620253164557,0.5267665952890792,0.24035173424523693,0.6303557747087598,0.1606920373849418,0.6498029286733762,7360,2668,442,492,ok,26.04051259998232,1,smote,HR Promotion
11,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.671957671957672,0.13633879781420766,0.5342612419700214,0.217239878101872,0.6095219253328368,0.12967319433144844,0.6217109224791568,6867,3161,435,499,ok,25.86918350000633,1,smote,HR Promotion
12,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6759715380405036,0.12791358726549176,0.4817987152034261,0.20215633423180593,0.5879276783037474,0.10516836024199686,0.6297706357957888,6960,3068,484,450,ok,26.06868080003187,1,smote,HR Promotion
13,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.7839613173980476,0.1809693196976434,0.4362272240085745,0.2558139534883721,0.6262707719564213,0.17451274693389876,0.6578591198663035,8186,1842,526,407,ok,26.40195989998756,1,smote,HR Promotion
14,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.6260377702764346,0.13642627468994029,0.6366559485530546,0.2247020994893134,0.6308529044719801,0.1492502204611902,0.6704572320760178,6268,3760,339,594,ok,25.528661499964073,1,smote,HR Promotion
0,QSVC,quantum,LDA,default,1200,10962,1.00000761449337e-07,{},0.7759532931946725,0.1834442595673877,0.4721627408993576,0.26423007789095265,0.6382054231022516,0.18650149115715325,0.640155316719182,8065,1963,493,441,ok,57.788351299997885,1,smote,HR Promotion
1,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6234263820470717,0.11536608863198458,0.512847965738758,0.18836020448289423,0.5732867670736072,0.08435948736670149,0.6042721173006802,6355,3673,455,479,ok,57.982859699986875,1,smote,HR Promotion
2,QSVC,quantum,LDA,default,1200,10962,1.00000761449337e-07,{},0.6301769750045612,0.11764705882352941,0.5139186295503212,0.19146390107698444,0.5774619075154876,0.08947699042752438,0.5922396945938951,6428,3600,454,480,ok,56.84585929999594,1,smote,HR Promotion
3,QSVC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.6834230453425783,0.13580246913580246,0.5069667738478028,0.21422101449275363,0.6034036102984526,0.12394933891450423,0.6063814459919514,7018,3010,460,473,ok,57.88748360000318,1,smote,HR Promotion
4,QSVC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.652312745187483,0.14007003501750875,0.6002143622722401,0.22713445548570269,0.6286871572031325,0.1492085104380886,0.6344182163468548,6590,3438,373,560,ok,56.2413155999966,1,smote,HR Promotion
5,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.7398284984491881,0.15228426395939088,0.44967880085653106,0.2275189599133261,0.608265806491289,0.13931309960407953,0.6162659435806722,7690,2338,514,420,ok,57.22266780002974,1,smote,HR Promotion
6,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.7559751870096698,0.1516606642657063,0.4057815845824411,0.2207981357413341,0.5971867635716354,0.1293517825038879,0.6088079715127408,7908,2120,555,379,ok,57.50053329998627,1,smote,HR Promotion
7,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.8086115672322569,0.1870967741935484,0.37259100642398285,0.24910522548317823,0.6109065921629288,0.16498447138741798,0.610380762558626,8516,1512,586,348,ok,57.71341379999649,1,smote,HR Promotion
8,QSVC,quantum,LDA,default,1200,10961,1.00000761449337e-07,{},0.6442842806313293,0.13544739429695182,0.5905680600214362,0.22035592881423716,0.6199250351961988,0.1385457549151805,0.6231257730231022,6511,3517,382,551,ok,57.786202499992214,1,smote,HR Promotion
9,QSVC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.7403521576498495,0.15778175313059034,0.47266881028938906,0.23658798283261803,0.6189630449532306,0.15233316240517594,0.6364484374084824,7674,2354,492,441,ok,57.64557959995,1,smote,HR Promotion
10,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.6977741288086116,0.1403084366495313,0.49678800856531047,0.21881631690639,0.6066409129384192,0.1297312957452315,0.6214841484528545,7185,2843,470,464,ok,57.57347090000985,1,smote,HR Promotion
11,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.7211275314723591,0.16140350877192983,0.5417558886509636,0.24870975669697715,0.6397949766350151,0.17273713921935324,0.6626887434669009,7399,2629,428,506,ok,56.704275899974164,1,smote,HR Promotion
12,QSVC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.7477650063856961,0.1676950998185118,0.49464668094218417,0.2504743833017078,0.6329934641248616,0.17119373866168636,0.6712962804788989,7735,2293,472,462,ok,57.325375799962785,1,smote,HR Promotion
13,QSVC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.7345132743362832,0.16205128205128205,0.5080385852090032,0.24572317262830481,0.6318114744952077,0.1663214640306619,0.6632836418157775,7577,2451,459,474,ok,56.66564549994655,1,smote,HR Promotion
14,QSVC,quantum,LDA,default,1200,10961,1.00000761449337e-07,{},0.7315026001277256,0.1574642126789366,0.49517684887459806,0.23894491854150504,0.6243335381189903,0.15673268960132272,0.6355848853649225,7556,2472,471,462,ok,57.02413550001802,1,smote,HR Promotion
0,RandomForest,classical,LDA,default,1200,10962,2.00001522898674e-07,{},0.6952198503922642,0.15486091195870375,0.5781584582441114,0.244288622483601,0.6421406571236512,0.17041088940420562,0.7199905041045671,7081,2947,394,540,ok,1.5328832999803126,1,smote,HR Promotion
1,RandomForest,classical,LDA,default,1200,10962,1.00000761449337e-07,{},0.7221309979930669,0.16066838046272494,0.5353319057815846,0.24715768660405338,0.6374306118457185,0.1701921222620921,0.6976027081345679,7416,2612,434,500,ok,1.5430787000223063,1,smote,HR Promotion
2,RandomForest,classical,LDA,default,1200,10962,2.00001522898674e-07,{},0.7209450830140486,0.16,0.5353319057815846,0.2463661000246366,0.6367824267639475,0.16917686265956364,0.6985660172929075,7403,2625,434,500,ok,1.590368999983184,1,smote,HR Promotion
3,RandomForest,classical,LDA,default,1200,10961,2.00001522898674e-07,{},0.6894443937596935,0.14198782961460446,0.5251875669882101,0.22354014598540145,0.6149571660230241,0.13814067725346718,0.6827396686918643,7067,2961,443,490,ok,1.6227596999960952,1,smote,HR Promotion
4,RandomForest,classical,LDA,default,1200,10961,2.00001522898674e-07,{},0.7273971352978743,0.1625615763546798,0.5305466237942122,0.248868778280543,0.6381293150881712,0.1721144357017203,0.7090399293553613,7478,2550,438,495,ok,1.5098456000559963,1,smote,HR Promotion
5,RandomForest,classical,LDA,default,1200,10962,2.00001522898674e-07,{},0.7155628534938879,0.1678832116788321,0.5910064239828694,0.26148744670772145,0.6590851824740833,0.19384898215431584,0.7224740747320777,7292,2736,382,552,ok,1.6012862999923527,1,smote,HR Promotion
